text,aspect,sentiment_label,language,text_clean
$T$ EA LILEMO LI 21 O BOLAEA MONNA OA HAE KA THIPA,MOSALI,-1,sesotho,t ea lilemo li 21 o bolaea monna oa hae ka thipa
MOSALI EA LILEMO LI 21 O BOLAEA $T$ OA HAE KA THIPA,MONNA,0,sesotho,mosali ea lilemo li 21 o bolaea t oa hae ka thipa
MOSALI EA LILEMO LI 21 O BOLAEA MONNA OA HAE KA $T$,THIPA,0,sesotho,mosali ea lilemo li 21 o bolaea monna oa hae ka t
KE BETILOE KE $T$ OAKA JOALE KE TŠABA HO MO TŠOARISA,NTATE OF MOKHOTSI,-1,sesotho,ke betiloe ke t oaka joale ke tšaba ho mo tšoarisa
KA SOTLEHA KE $T$ LENYALONG ATSEBA O KENYA BANNA NTSE KE MO SHEBILE,MOSALI,-1,sesotho,ka sotleha ke t lenyalong atseba o kenya banna ntse ke mo shebile
KA SOTLEHA KE MOSALI LENYALONG ATSEBA O KENYA $T$ NTSE KE MO SHEBILE,BANNA,-1,sesotho,ka sotleha ke mosali lenyalong atseba o kenya t ntse ke mo shebile
TLHALOSO EA $T$,MAEMO A LEHOLIMO,0,sesotho,tlhaloso ea t
$T$ O NYAHLATSA BANA LE MOHIRUOA O MATHA MOSE,MOSALI,-1,sesotho,t o nyahlatsa bana le mohiruoa o matha mose
MOSALI O NYAHLATSA $T$ LE MOHIRUOA O MATHA MOSE,BANA,0,sesotho,mosali o nyahlatsa t le mohiruoa o matha mose
MOSALI O NYAHLATSA BANA LE $T$ O MATHA MOSE,MOHIRUOA,0,sesotho,mosali o nyahlatsa bana le t o matha mose
$T$ BA ISA SEKOLO LEKHOTLENG,BAITHUTI BA SEKOLO SE PHAHAMENG,-1,sesotho,t ba isa sekolo lekhotleng
BAITHUTI BA SEKOLO SE PHAHAMENG BA ISA $T$ LEKHOTLENG,SEKOLO,-1,sesotho,baithuti ba sekolo se phahameng ba isa t lekhotleng
BAITHUTI BA SEKOLO SE PHAHAMENG BA ISA SEKOLO $T$,LEKHOTLENG,0,sesotho,baithuti ba sekolo se phahameng ba isa sekolo t
O TŠOARELA $T$ EA FILENG NYATSI LIFOTO TSA MAPONA-PONA,MONNA,-1,sesotho,o tšoarela t ea fileng nyatsi lifoto tsa maponapona
O TŠOARELA MONNA EA FILENG $T$ LIFOTO TSA MAPONA-PONA,NYATSI,-1,sesotho,o tšoarela monna ea fileng t lifoto tsa maponapona
O TŠOARELA MONNA EA FILENG NYATSI $T$,LIFOTO TSA MAPONA-PONA,-1,sesotho,o tšoarela monna ea fileng nyatsi t
$T$ E BOLAEA MOTHO KA METHOKHO,NGAKA EA SESOTHO,-1,sesotho,t e bolaea motho ka methokho
NGAKA EA SESOTHO E BOLAEA $T$ KA METHOKHO,MOTHO,-1,sesotho,ngaka ea sesotho e bolaea t ka methokho
NGAKA EA SESOTHO E BOLAEA MOTHO KA $T$,METHOKHO,-1,sesotho,ngaka ea sesotho e bolaea motho ka t
$T$ OAKA O BOPA MEKOTLA KA PAPA,MOSALI,1,sesotho,t oaka o bopa mekotla ka papa
MOSALI OAKA O BOPA $T$ KA PAPA,MEKOTLA,0,sesotho,mosali oaka o bopa t ka papa
MOSALI OAKA O BOPA MEKOTLA KA $T$,PAPA,0,sesotho,mosali oaka o bopa mekotla ka t
BONA $T$ A TŠOEROE KA LIPANTY LE THEPA EA KATLUNG,MASHOLU A BANNA,-1,sesotho,bona t a tšoeroe ka lipanty le thepa ea katlung
BONA MASHOLU A BANNA A TŠOEROE KA $T$ LE THEPA EA KATLUNG,LIPANTY,0,sesotho,bona masholu a banna a tšoeroe ka t le thepa ea katlung
BONA MASHOLU A BANNA A TŠOEROE KA LIPANTY LE $T$,THEPA EA KATLUNG,0,sesotho,bona masholu a banna a tšoeroe ka lipanty le t
$T$ O LEFA 30 000 KAMORA HO TŠELA MOTLAKASE KA MOROTO,MONNA,-1,sesotho,t o lefa 30 000 kamora ho tšela motlakase ka moroto
MONNA O LEFA 30 000 KAMORA HO TŠELA $T$ KA MOROTO,MOTLAKASE,-1,sesotho,monna o lefa 30 000 kamora ho tšela t ka moroto
MONNA O LEFA 30 000 KAMORA HO TŠELA MOTLAKASE KA $T$,MOROTO,0,sesotho,monna o lefa 30 000 kamora ho tšela motlakase ka t
UTLOA $T$ EA ENTSOENG SEHLABELO,LITABA TSA MOSALI,-1,sesotho,utloa t ea entsoeng sehlabelo
$T$ E QETA HO PHETHOHA KA BAETI LEHLOENG,KOLOI,-1,sesotho,t e qeta ho phethoha ka baeti lehloeng
KOLOI E QETA HO PHETHOHA KA $T$ LEHLOENG,BAETI,0,sesotho,koloi e qeta ho phethoha ka t lehloeng
KOLOI E QETA HO PHETHOHA KA BAETI $T$,LEHLOENG,0,sesotho,koloi e qeta ho phethoha ka baeti t
$T$ EA NHLALA KA NYALOA KE NGOANA EA MO HLAHLAMANG,EX,-1,sesotho,t ea nhlala ka nyaloa ke ngoana ea mo hlahlamang
EX EA NHLALA KA NYALOA KE $T$ EA MO HLAHLAMANG,NGOANA,1,sesotho,ex ea nhlala ka nyaloa ke t ea mo hlahlamang
HO FUMANOA $T$ SE TJAPALLETSE KA HARA METSI LE LEKOALI LA MALI,SETOPO,-1,sesotho,ho fumanoa t se tjapalletse ka hara metsi le lekoali la mali
HO FUMANOA SETOPO SE TJAPALLETSE KA HARA METSI LE LEKOALI LA $T$,MALI,-1,sesotho,ho fumanoa setopo se tjapalletse ka hara metsi le lekoali la t
HO FUMANOA SETOPO SE TJAPALLETSE KA HARA $T$ LE LEKOALI LA MALI,METSI,-1,sesotho,ho fumanoa setopo se tjapalletse ka hara t le lekoali la mali
$T$ LE MAPOLESA A TLA NGOLA LIHLAHLOBO SEKOLONG SE PHAHAMENG,MASOLE,1,sesotho,t le mapolesa a tla ngola lihlahlobo sekolong se phahameng
MASOLE LE $T$ A TLA NGOLA LIHLAHLOBO SEKOLONG SE PHAHAMENG,MAPOLESA,1,sesotho,masole le t a tla ngola lihlahlobo sekolong se phahameng
MASOLE LE MAPOLESA A TLA NGOLA LIHLAHLOBO $T$,SEKOLONG SE PHAHAMENG,0,sesotho,masole le mapolesa a tla ngola lihlahlobo t
MASOLE LE MAPOLESA A TLA NGOLA $T$ SEKOLONG SE PHAHAMENG,LIHLAHLOBO,0,sesotho,masole le mapolesa a tla ngola t sekolong se phahameng
$T$ BA CHELLA KA FEMENG,BATHO,-1,sesotho,t ba chella ka femeng
BATHO BA CHELLA KA $T$,FEMENG,0,sesotho,batho ba chella ka t
$T$ O UTSOA KOLOI E MOTSOALLE OA HAE,MOSHANYANA,-1,sesotho,t o utsoa koloi e motsoalle oa hae
MOSHANYANA O UTSOA $T$ E MOTSOALLE OA HAE,KOLOI,0,sesotho,moshanyana o utsoa t e motsoalle oa hae
MOSHANYANA O UTSOA KOLOI E $T$,MOTSOALLE OA HAE,0,sesotho,moshanyana o utsoa koloi e t
HO FUMANOA $T$ KA HARA MOFILIBITHI OA MOHLOA,LITOPO,-1,sesotho,ho fumanoa t ka hara mofilibithi oa mohloa
HO FUMANOA LITOPO KA HARA MOFILIBITHI OA $T$,MOHLOA,-1,sesotho,ho fumanoa litopo ka hara mofilibithi oa t
$T$ E JOETSA MOSALI HORE E MO NKETSE MONNA,NYATSI,-1,sesotho,t e joetsa mosali hore e mo nketse monna
NYATSI E JOETSA $T$ HORE E MO NKETSE MONNA,MOSALI,0,sesotho,nyatsi e joetsa t hore e mo nketse monna
NYATSI E JOETSA MOSALI HORE E MO NKETSE $T$,MONNA,-1,sesotho,nyatsi e joetsa mosali hore e mo nketse t
$T$ KOTSI EA EXTENSION CORD,TLHOKOMELISO,0,sesotho,t kotsi ea extension cord
TLHOKOMELISO KOTSI EA $T$,EXTENSION CORD,-1,sesotho,tlhokomeliso kotsi ea t
$T$ EA HO TSAMAEA O TSOTSE,MELEMO,1,sesotho,t ea ho tsamaea o tsotse
$T$ O FA NGOANA CHEFO EA TERENKI,MONNA,-1,sesotho,t o fa ngoana chefo ea terenki
MONNA O FA $T$ CHEFO EA TERENKI,NGOANA,0,sesotho,monna o fa t chefo ea terenki
MONNA O FA NGOANA $T$,CHEFO EA TERENKI,-1,sesotho,monna o fa ngoana t
$T$ O NYAMETSE HAKE TEREKA PHONE TSA BONA LI HLAHA MORUNG,NGOANESO,-1,sesotho,t o nyametse hake tereka phone tsa bona li hlaha morung
NGOANESO O NYAMETSE HAKE TEREKA $T$ TSA BONA LI HLAHA MORUNG,PHONE,0,sesotho,ngoaneso o nyametse hake tereka t tsa bona li hlaha morung
NGOANESO O NYAMETSE HAKE TEREKA PHONE TSA BONA LI HLAHA $T$,MORUNG,-1,sesotho,ngoaneso o nyametse hake tereka phone tsa bona li hlaha t
$T$ O BETELOA MAHLONG A 'MAE KE NYATSI,NGOANA,-1,sesotho,t o beteloa mahlong a mae ke nyatsi
NGOANA O BETELOA MAHLONG A $T$ KE NYATSI,'MAE,-1,sesotho,ngoana o beteloa mahlong a t ke nyatsi
NGOANA O BETELOA MAHLONG A 'MAE KE $T$,NYATSI,-1,sesotho,ngoana o beteloa mahlong a mae ke t
$T$ O NYAMETSE ESALE A RE O EA TOROPONG LE BOYFRIEND,AUSI,-1,sesotho,t o nyametse esale a re o ea toropong le boyfriend
AUSI O NYAMETSE ESALE A RE O EA $T$ LE BOYFRIEND,TOROPONG,0,sesotho,ausi o nyametse esale a re o ea t le boyfriend
AUSI O NYAMETSE ESALE A RE O EA TOROPONG LE $T$,BOYFRIEND,0,sesotho,ausi o nyametse esale a re o ea toropong le t
BONA MOO $T$ A NENG A HLOKAHALLE TENG,MOITHUTI OA SEKOLO,-1,sesotho,bona moo t a neng a hlokahalle teng
$T$ O NYAHLALITSE NGOANA TOROPONG,MOSALI,-1,sesotho,t o nyahlalitse ngoana toropong
MOSALI O NYAHLALITSE $T$ TOROPONG,NGOANA,0,sesotho,mosali o nyahlalitse t toropong
MOSALI O NYAHLALITSE NGOANA $T$,TEROPONG,-1,sesotho,mosali o nyahlalitse ngoana t
$T$ O HLAHA KHOTLA KA POLAO EA MONNA OA HAE,MOSALI,-1,sesotho,t o hlaha khotla ka polao ea monna oa hae
MOSALI O HLAHA $T$ KA POLAO EA MONNA OA HAE,KHOTLA,0,sesotho,mosali o hlaha t ka polao ea monna oa hae
MOSALI O HLAHA KHOTLA KA POLAO EA $T$ OA HAE,MONNA,-1,sesotho,mosali o hlaha khotla ka polao ea t oa hae
$T$ O TJAPALLETSE KEITING EA KOKELO MANESE A HANA KA LITŠEBELETSO,MOKULI,-1,sesotho,t o tjapalletse keiting ea kokelo manese a hana ka litšebeletso
MOKULI O TJAPALLETSE $T$ MANESE A HANA KA LITŠEBELETSO,KEITING EA KOKELO,0,sesotho,mokuli o tjapalletse t manese a hana ka litšebeletso
MOKULI O TJAPALLETSE KEITING EA KOKELO $T$ A HANA KA LITŠEBELETSO,MENESE,-1,sesotho,mokuli o tjapalletse keiting ea kokelo t a hana ka litšebeletso
MOKULI O TJAPALLETSE KEITING EA KOKELO MANESE A HANA KA $T$,LITŠEBELETSO,0,sesotho,mokuli o tjapalletse keiting ea kokelo manese a hana ka t
BONA $T$ SEO NGOANA EA LILEMO LI 'NE A OETSENG HO SONA,SEKOTI SA NTLOANA,-1,sesotho,bona t seo ngoana ea lilemo li ne a oetseng ho sona
BONA SEKOTI SA NTLOANA SEO $T$ EA LILEMO LI 'NE A OETSENG HO SONA,NGOANA,-1,sesotho,bona sekoti sa ntloana seo t ea lilemo li ne a oetseng ho sona
$T$ ESALE A NYAMELA O FUMANOA NTLOANENG EA SEKOLO E LE MOFU,NGOANA,-1,sesotho,t esale a nyamela o fumanoa ntloaneng ea sekolo e le mofu
NGOANA ESALE A NYAMELA O FUMANOA $T$ E LE MOFU,NTLOANENG SA SEKOLO,-1,sesotho,ngoana esale a nyamela o fumanoa t e le mofu
TSA MORAO-RAO KA $T$ EA BOLAILOENG KA CHEFO JOALENG,MOITHUTI,-1,sesotho,tsa moraorao ka t ea bolailoeng ka chefo joaleng
TSA MORAO-RAO KA MOITHUTI EA BOLAILOENG KA $T$ JOALENG,CHEFO,-1,sesotho,tsa moraorao ka moithuti ea bolailoeng ka t joaleng
TSA MORAO-RAO KA MOITHUTI EA BOLAILOENG KA CHEFO $T$,JOALENG,-1,sesotho,tsa moraorao ka moithuti ea bolailoeng ka chefo t
KE MAEMONG AFENG AO U KA ITLOSANG PELA $T$ OA HAU FELA U NTSE U MO RATA,MORATUOA,1,sesotho,ke maemong afeng ao u ka itlosang pela t oa hau fela u ntse u mo rata
KE $T$ AFENG AO U KA ITLOSANG PELA MORATUOA OA HAU FELA U NTSE U MO RATA,MAEMONG,-1,sesotho,ke t afeng ao u ka itlosang pela moratuoa oa hau fela u ntse u mo rata
$T$ EA BOLAEANG O TŠOEROE,MOSALI,-1,sesotho,t ea bolaeang o tšoeroe
$T$ O MATHA LE NYATSI BOBELI BO BOLLOTSE JOALE BA MO KHAKHATHILE,MONNA'KA,-1,sesotho,t o matha le nyatsi bobeli bo bollotse joale ba mo khakhathile
MONNA'KA O MATHA LE $T$ BOBELI BO BOLLOTSE JOALE BA MO KHAKHATHILE,NYATSI,-1,sesotho,monnaka o matha le t bobeli bo bollotse joale ba mo khakhathile
$T$ HAESA 'NATEFELA SEKE BOHOLA FELA HORE MONNA A NRATE,THOBALANO,-1,sesotho,t haesa natefela seke bohola fela hore monna a nrate
THOBALANO HAESA 'NATEFELA SEKE BOHOLA FELA HORE $T$ A NRATE,MONNA,1,sesotho,thobalano haesa natefela seke bohola fela hore t a nrate
$T$ ENOA O FUMANOE A NTSE A TAKA MAKOLOI LE LIKEITI TSA BATHO KA MERIANA,MONNA,-1,sesotho,t enoa o fumanoe a ntse a taka makoloi le likeiti tsa batho ka meriana
MONNA ENOA O FUMANOE A NTSE A TAKA $T$ LE LIKEITI TSA BATHO KA MERIANA,MAKOLOI,0,sesotho,monna enoa o fumanoe a ntse a taka t le likeiti tsa batho ka meriana
MONNA ENOA O FUMANOE A NTSE A TAKA MAKOLOI LE $T$ TSA BATHO KA MERIANA,LIKEITI,0,sesotho,monna enoa o fumanoe a ntse a taka makoloi le t tsa batho ka meriana
MONNA ENOA O FUMANOE A NTSE A TAKA MAKOLOI LE LIKEITI TSA BATHO KA $T$,MERIANA,-1,sesotho,monna enoa o fumanoe a ntse a taka makoloi le likeiti tsa batho ka t
$T$ O RE O TSOA MANTLE KA BOTHONG,MOSALI,0,sesotho,t o re o tsoa mantle ka bothong
MOSALI O RE O TSOA $T$ KA BOTHONG,MANTLE,-1,sesotho,mosali o re o tsoa t ka bothong
MOSALI O RE O TSOA MANTLE KA $T$,BOTHONG,-1,sesotho,mosali o re o tsoa mantle ka t
$T$ O QOSOA KA HO HLEKEFETSA SETLOHOLO KA MOTABO,MOKHALAKAJOE,-1,sesotho,t o qosoa ka ho hlekefetsa setloholo ka motabo
MOKHALAKAJOE O QOSOA KA HO HLEKEFETSA $T$ KA MOTABO,SETLOHOLO,0,sesotho,mokhalakajoe o qosoa ka ho hlekefetsa t ka motabo
$T$ EA HOEBANG KA 'MELE O RE  O KHATHETSE O KOPA MONNA,MOSALI,1,sesotho,t ea hoebang ka mele o re o khathetse o kopa monna
MOSALI EA HOEBANG KA 'MELE O RE  O KHATHETSE O KOPA $T$,MONNA,0,sesotho,mosali ea hoebang ka mele o re o khathetse o kopa t
$T$ E KOAHELA BOTŠEHALI LE MATSOELE KA NAMA EA KHOHO,KHAREBE,-1,sesotho,t e koahela botšehali le matsoele ka nama ea khoho
KHAREBE E KOAHELA $T$ LE MATSOELE KA NAMA EA KHOHO,BOTŠEHALI,0,sesotho,kharebe e koahela t le matsoele ka nama ea khoho
KHAREBE E KOAHELA BOTŠEHALI LE $T$ KA NAMA EA KHOHO,MATSOELE,0,sesotho,kharebe e koahela botšehali le t ka nama ea khoho
KHAREBE E KOAHELA BOTŠEHALI LE MATSOELE KA $T$,NAMA EA KHOHO,0,sesotho,kharebe e koahela botšehali le matsoele ka t
$T$ EA ILENG A BETOA HABELI O PHETA MASISA-PELO,NGOANANA,-1,sesotho,t ea ileng a betoa habeli o pheta masisapelo
$T$ O TŠELLOA CHEFO KA JOALENG,MOITHUTI OA SEKOLO SE SEHOLO,0,sesotho,t o tšelloa chefo ka joaleng
MOITHUTI OA SEKOLO SE SEHOLO O TŠELLOA $T$ KA JOALENG,CHEFO,-1,sesotho,moithuti oa sekolo se seholo o tšelloa t ka joaleng
MOITHUTI OA SEKOLO SE SEHOLO O TŠELLOA CHEFO KA $T$,JOALENG,-1,sesotho,moithuti oa sekolo se seholo o tšelloa chefo ka t
UTLOA $T$ BA BARARO BA MOFU PHUPUNG KAJENO,MANTSOE A BARA,0,sesotho,utloa t ba bararo ba mofu phupung kajeno
UTLOA MANTSOE A BARA BA BARARO BA MOFU $T$ KAJENO,PHUPUNG,-1,sesotho,utloa mantsoe a bara ba bararo ba mofu t kajeno
KE NYETSE $T$ EO KE SA MO RATENG KA LEBAKA LA MPA,MOTHO,-1,sesotho,ke nyetse t eo ke sa mo rateng ka lebaka la mpa
KE NYETSE MOTHO EO KE SA MO RATENG KA LEBAKA LA $T$,MPA,0,sesotho,ke nyetse motho eo ke sa mo rateng ka lebaka la t
$T$ O CHATA LE NYATSI MAHLONG A MOSALI LE NGOANA,MONNA,-1,sesotho,t o chata le nyatsi mahlong a mosali le ngoana
MONNA O CHATA LE $T$ MAHLONG A MOSALI LE NGOANA,NYATSI,-1,sesotho,monna o chata le t mahlong a mosali le ngoana
MONNA O CHATA LE NYATSI MAHLONG A $T$ LE NGOANA,MOSALI,0,sesotho,monna o chata le nyatsi mahlong a t le ngoana
MONNA O CHATA LE NYATSI MAHLONG A MOSALI LE $T$,NGOANA,0,sesotho,monna o chata le nyatsi mahlong a mosali le t
$T$ KE MOFU,MONNA,-1,sesotho,t ke mofu
$T$ O THUNYETSOA LEBALENG HA HAE,MONNA,-1,sesotho,t o thunyetsoa lebaleng ha hae
MONNA O THUNYETSOA $T$ HA HAE,LEBALENG,0,sesotho,monna o thunyetsoa t ha hae
KE ILE KA MO REKELA $T$ HOBANE E TELELE EBILE E CHIPI KE NE NEKE CHONNE KE SE NA EA SAVANNA,COTHO EA BLACK LABEL,1,sesotho,ke ile ka mo rekela t hobane e telele ebile e chipi ke ne neke chonne ke se na ea savanna
KE ILE KA MO REKELA COTHO EA BLACK LABEL HOBANE E TELELE EBILE E CHIPI KE NE NEKE CHONNE KE SE NA EA $T$,SAVANNA,-1,sesotho,ke ile ka mo rekela cotho ea black label hobane e telele ebile e chipi ke ne neke chonne ke se na ea t
$T$ O HLAHA KHOTLA,MOHLASELI OA SEPETLELE,-1,sesotho,t o hlaha khotla
MOHLASELI OA SEPETLELE O HLAHA $T$,KHOTLA,0,sesotho,mohlaseli oa sepetlele o hlaha t
$T$ O FENETHA LELAPA KAOFELA,MONNA,-1,sesotho,t o fenetha lelapa kaofela
MONNA O FENETHA $T$ KAOFELA,LELAPA,0,sesotho,monna o fenetha t kaofela
$T$ O QOSOA KA POLAO EA BATHO BA BABELI A NTSE A LE BEILING EA POLAO EA BATHO BA BANG BA BABELI,MONNA,-1,sesotho,t o qosoa ka polao ea batho ba babeli a ntse a le beiling ea polao ea batho ba bang ba babeli
MONNA O QOSOA KA POLAO EA $T$ BA BABELI A NTSE A LE BEILING EA POLAO EA BATHO BA BANG BA BABELI,BATHO,-1,sesotho,monna o qosoa ka polao ea t ba babeli a ntse a le beiling ea polao ea batho ba bang ba babeli
MONNA O QOSOA KA POLAO EA BATHO BA BABELI A NTSE A LE $T$ EA POLAO EA BATHO BA BANG BA BABELI,BEILING,0,sesotho,monna o qosoa ka polao ea batho ba babeli a ntse a le t ea polao ea batho ba bang ba babeli
MONNA O QOSOA KA POLAO EA BATHO BA BABELI A NTSE A LE BEILING EA POLAO EA $T$ BA BANG BA BABELI,BATHO,-1,sesotho,monna o qosoa ka polao ea batho ba babeli a ntse a le beiling ea polao ea t ba bang ba babeli
$T$ BA TLAMISOA THOTO KA NKANE,BAITHUTI BA SEKOLO SE PHAHAMENG,-1,sesotho,t ba tlamisoa thoto ka nkane
BA SE BA SUNTSE $T$ SEETA BAITHUTI BA SEKOLO,LEPOLESA,0,sesotho,ba se ba suntse t seeta baithuti ba sekolo
BA SE BA SUNTSE LEPOLESA SEETA $T$,BAITHUTI BA SEKOLO,-1,sesotho,ba se ba suntse lepolesa seeta t
$T$ BA TERAEKILE HAPE,BAITHUTI BA SEKOLO SE SEHOLO,-1,sesotho,t ba teraekile hape
$T$ E FUOA LENGOLO LA JUNIFESITHI,NTJA,1,sesotho,t e fuoa lengolo la junifesithi
NTJA E FUOA $T$,LENGOLO LA JUNIFESITHI,1,sesotho,ntja e fuoa t
$T$ O LIHA KOLOI KA COTHO EA JOALA,MOQHOBI,-1,sesotho,t o liha koloi ka cotho ea joala
MOQHOBI O LIHA $T$ KA COTHO EA JOALA,KOLOI,0,sesotho,moqhobi o liha t ka cotho ea joala
MOQHOBI O LIHA KOLOI KA $T$,COTHO EA JOALA,-1,sesotho,moqhobi o liha koloi ka t
$T$ O CHOATLILE LEHO TABOLA LIBUKA TSA BAKULI SEPETLELE KA LE RENG BAOKI BA BOLAILE NTAT'AE,MONNA,-1,sesotho,t o choatlile leho tabola libuka tsa bakuli sepetlele ka le reng baoki ba bolaile ntatae
MONNA O CHOATLILE LEHO TABOLA $T$ SEPETLELE KA LE RENG BAOKI BA BOLAILE NTAT'AE,LIBUKA TSA BAKULI,-1,sesotho,monna o choatlile leho tabola t sepetlele ka le reng baoki ba bolaile ntatae
MONNA O CHOATLILE LEHO TABOLA LIBUKA TSA BAKULI $T$ KA LE RENG BAOKI BA BOLAILE NTAT'AE,SEPETLELE,0,sesotho,monna o choatlile leho tabola libuka tsa bakuli t ka le reng baoki ba bolaile ntatae
MONNA O CHOATLILE LEHO TABOLA LIBUKA TSA BAKULI SEPETLELE KA LE RENG $T$ BA BOLAILE NTAT'AE,BAOKI,-1,sesotho,monna o choatlile leho tabola libuka tsa bakuli sepetlele ka le reng t ba bolaile ntatae
MONNA O CHOATLILE LEHO TABOLA LIBUKA TSA BAKULI SEPETLELE KA LE RENG BAOKI BA BOLAILE $T$,NTAT'AE,0,sesotho,monna o choatlile leho tabola libuka tsa bakuli sepetlele ka le reng baoki ba bolaile t
$T$ NTSE BA TSOELA PELE HO ITLONTLOLLA,BANNA,-1,sesotho,t ntse ba tsoela pele ho itlontlolla
$T$ BA NKELA E MONG MOSALI KA SETHUNYA,BANNA,-1,sesotho,t ba nkela e mong mosali ka sethunya
BANNA BA NKELA E MONG $T$ KA SETHUNYA,MOSALI,0,sesotho,banna ba nkela e mong t ka sethunya
BANNA BA NKELA E MONG MOSALI KA $T$,SETHUNYA,-1,sesotho,banna ba nkela e mong mosali ka t
$T$ LI HLASELA BANKA,LINOKOANE,-1,sesotho,t li hlasela banka
LINOKOANE LI HLASELA $T$,BANKA,0,sesotho,linokoane li hlasela t
$T$ O NEHELA MOEA A NTSE A BETOA,MOSALI,-1,sesotho,t o nehela moea a ntse a betoa
$T$ LE TLA POTOLOHA LE LITEREKE,LEBONE LA TSOSOLOSO,1,sesotho,t le tla potoloha le litereke
LEBONE LA TSOSOLOSO LE TLA POTOLOHA LE $T$,LITEREKE,0,sesotho,lebone la tsosoloso le tla potoloha le t
$T$ O THOPHOTHETSA THUTO KA TLHEKEFETSO,MOKHATLO,0,sesotho,t o thophothetsa thuto ka tlhekefetso
MOKHATLO O THOPHOTHETSA $T$,THUTO KA TLHEKEFETSO,1,sesotho,mokhatlo o thophothetsa t
$T$ BA TŠOARA MOHOANTO HOSANE,BAHOEBI BA LIKHOHO,0,sesotho,t ba tšoara mohoanto hosane
BAHOEBI BA LIKHOHO BA TŠOARA $T$ HOSANE,MOHOANTO,0,sesotho,bahoebi ba likhoho ba tšoara t hosane
$T$ O TŠOAROA HOTELENG LE BOSIU,MOLOI,-1,sesotho,t o tšoaroa hoteleng le bosiu
MOLOI O TŠOAROA $T$ LE BOSIU,HOTELENG,0,sesotho,moloi o tšoaroa t le bosiu
$T$ O BATLA M3 MILIONE,MONGA' SOMETHING KAOFELA,-1,sesotho,t o batla m3 milione
$T$ A THIBELOA HO EA JOALENG BOSIU HO TLOHA BEKENG E TLANG,MAPOLESA,0,sesotho,t a thibeloa ho ea joaleng bosiu ho tloha bekeng e tlang
MAPOLESA A THIBELOA HO EA $T$ BOSIU HO TLOHA BEKENG E TLANG,JOALENG,1,sesotho,mapolesa a thibeloa ho ea t bosiu ho tloha bekeng e tlang
$T$ SE TSOA PUO KA NGAKA E QOSOANG KA PETO EA NGOANANA,SEPETLELE,0,sesotho,t se tsoa puo ka ngaka e qosoang ka peto ea ngoanana
SEPETLELE SE TSOA PUO KA $T$ E QOSOANG KA PETO EA NGOANANA,NGAKA,-1,sesotho,sepetlele se tsoa puo ka t e qosoang ka peto ea ngoanana
SEPETLELE SE TSOA PUO KA NGAKA E QOSOANG KA PETO EA $T$,NGOANANA,0,sesotho,sepetlele se tsoa puo ka ngaka e qosoang ka peto ea t
$T$ SE FANA KA THUTO E MATLA SEKOLONG SE PHAHAMENG,SESOLE,1,sesotho,t se fana ka thuto e matla sekolong se phahameng
SESOLE SE FANA KA $T$ E MATLA SEKOLONG SE PHAHAMENG,THUTO,1,sesotho,sesole se fana ka t e matla sekolong se phahameng
SESOLE SE FANA KA THUTO E MATLA $T$,SEKOLONG SE PHAHAMENG,0,sesotho,sesole se fana ka thuto e matla t
$T$ BA HOANTELA TONAKHOLO KA MOSO,BARUI BA LIKHOHO,0,sesotho,t ba hoantela tonakholo ka moso
BARUI BA LIKHOHO BA HOANTELA $T$ KA MOSO,TONAKHOLO,-1,sesotho,barui ba likhoho ba hoantela t ka moso
BACHA BA MOKHA OA POLOTIKI BA RE $T$ O MASOBA,MOLAO,-1,sesotho,bacha ba mokha oa polotiki ba re t o masoba
$T$ BA RE MOLAO O MASOBA,BACHA BA MOKHA OA POLOTIKI,0,sesotho,t ba re molao o masoba
$T$ KHOTLA KA TJOTJO,OFISIRI EA 'MUSO,-1,sesotho,t khotla ka tjotjo
OFISIRI EA 'MUSO $T$ KA TJOTJO,KHOTLA,0,sesotho,ofisiri ea muso t ka tjotjo
$T$ SE AHLOLOA LILEMO TSE 54,SENOKOANE,1,sesotho,t se ahloloa lilemo tse 54
$T$ KA THIBELO EA MOLAOLI HO FANA KA THUTO SEKOLONG,MAIKUTLO A SESOLE,0,sesotho,t ka thibelo ea molaoli ho fana ka thuto sekolong
MAIKUTLO A SESOLE KA THIBELO EA $T$ HO FANA KA THUTO SEKOLONG,MOLAOLI,-1,sesotho,maikutlo a sesole ka thibelo ea t ho fana ka thuto sekolong
MAIKUTLO A SESOLE KA THIBELO EA MOLAOLI HO FANA KA $T$ SEKOLONG,THUTO,0,sesotho,maikutlo a sesole ka thibelo ea molaoli ho fana ka t sekolong
MAIKUTLO A SESOLE KA THIBELO EA MOLAOLI HO FANA KA THUTO $T$,SEKOLONG,0,sesotho,maikutlo a sesole ka thibelo ea molaoli ho fana ka thuto t
$T$ LE LAELA SEPOLESA HO PHENYEKOLLA HA MOPARAMENTE,LEKHOTLA,1,sesotho,t le laela sepolesa ho phenyekolla ha moparamente
LEKHOTLA LE LAELA $T$ HO PHENYEKOLLA HA MOPARAMENTE,SEPOLESA,0,sesotho,lekhotla le laela t ho phenyekolla ha moparamente
LEKHOTLA LE LAELA SEPOLESA HO PHENYEKOLLA HA $T$,MOPARAMENTE,-1,sesotho,lekhotla le laela sepolesa ho phenyekolla ha t
$T$ O KOETELA LESOLE,MOSALI,-1,sesotho,t o koetela lesole
MOSALI O KOETELA $T$,LESOLE,0,sesotho,mosali o koetela t
